Date,zip,count
4/1/2020,37115,5
4/1/2020,37138,3
4/1/2020,37207,2
4/1/2020,37208,1
4/1/2020,37209,4
4/1/2020,37210,2
4/1/2020,37211,8
4/1/2020,37212,2
4/1/2020,37213,1
4/1/2020,37214,2
4/1/2020,37216,1
4/1/2020,37217,2
4/1/2020,37218,2
4/1/2020,37221,2
4/2/2020,,2
4/2/2020,37013,7
4/2/2020,37076,5
4/2/2020,37115,1
4/2/2020,37138,2
4/2/2020,37201,2
4/2/2020,37205,3
4/2/2020,37207,3
4/2/2020,37209,2
4/2/2020,37211,7
4/2/2020,37214,2
4/2/2020,37218,4
4/3/2020,,1
4/3/2020,37013,10
4/3/2020,37072,1
4/3/2020,37076,2
4/3/2020,37115,4
4/3/2020,37138,1
4/3/2020,37189,1
4/3/2020,37203,1
4/3/2020,37204,1
4/3/2020,37205,2
4/3/2020,37206,1
4/3/2020,37207,5
4/3/2020,37208,2
4/3/2020,37209,6
4/3/2020,37211,7
4/3/2020,37212,2
4/3/2020,37214,2
4/3/2020,37215,1
4/3/2020,37216,1
4/3/2020,37217,2
4/3/2020,37218,2
4/3/2020,37221,1
4/4/2020,,2
4/4/2020,37013,1
4/4/2020,37076,2
4/4/2020,37115,1
4/4/2020,37138,1
4/4/2020,37201,1
4/4/2020,37203,1
4/4/2020,37205,1
4/4/2020,37208,1
4/4/2020,37209,1
4/4/2020,37211,7
4/4/2020,37214,1
4/4/2020,37217,4
4/4/2020,37218,1
4/5/2020,,1
4/5/2020,37013,3
4/5/2020,37206,1
4/5/2020,37208,1
4/5/2020,37211,4
4/5/2020,37214,1
4/5/2020,37217,2
4/6/2020,,2
4/6/2020,37013,16
4/6/2020,37076,3
4/6/2020,37115,1
4/6/2020,37138,1
4/6/2020,37189,2
4/6/2020,37206,3
4/6/2020,37207,3
4/6/2020,37208,1
4/6/2020,37209,1
4/6/2020,37211,11
4/6/2020,37212,2
4/6/2020,37214,4
4/6/2020,37215,1
4/6/2020,37216,1
4/6/2020,37217,6
4/6/2020,37218,4
4/6/2020,37221,1
4/7/2020,,3
4/7/2020,37013,14
4/7/2020,37072,1
4/7/2020,37076,2
4/7/2020,37207,2
4/7/2020,37208,2
4/7/2020,37209,1
4/7/2020,37210,2
4/7/2020,37211,8
4/7/2020,37217,2
4/7/2020,37218,1
4/7/2020,37221,1
4/8/2020,,1
4/8/2020,37013,16
4/8/2020,37027,1
4/8/2020,37072,1
4/8/2020,37115,1
4/8/2020,37138,1
4/8/2020,37203,1
4/8/2020,37205,1
4/8/2020,37207,8
4/8/2020,37209,2
4/8/2020,37211,8
4/8/2020,37212,4
4/8/2020,37213,1
4/8/2020,37216,2
4/8/2020,37217,7
4/8/2020,37218,1
4/8/2020,37221,1
4/9/2020,,3
4/9/2020,37013,7
4/9/2020,37072,2
4/9/2020,37076,1
4/9/2020,37115,1
4/9/2020,37138,4
4/9/2020,37205,1
4/9/2020,37207,2
4/9/2020,37209,1
4/9/2020,37214,1
4/9/2020,37217,5
4/9/2020,37218,2
4/9/2020,37221,1
4/10/2020,,4
4/10/2020,37013,15
4/10/2020,37076,1
4/10/2020,37115,5
4/10/2020,37205,1
4/10/2020,37206,1
4/10/2020,37207,1
4/10/2020,37208,1
4/10/2020,37209,2
4/10/2020,37211,9
4/10/2020,37212,12
4/10/2020,37214,3
4/10/2020,37217,4
4/10/2020,37218,2
4/10/2020,37221,1
4/11/2020,,1
4/11/2020,37013,21
4/11/2020,37072,1
4/11/2020,37076,2
4/11/2020,37115,2
4/11/2020,37189,1
4/11/2020,37208,1
4/11/2020,37210,2
4/11/2020,37211,6
4/11/2020,37214,2
4/11/2020,37217,2
4/11/2020,37221,2
4/12/2020,37013,3
4/12/2020,37072,1
4/12/2020,37138,1
4/12/2020,37206,1
4/12/2020,37210,1
4/12/2020,37211,6
4/12/2020,37215,1
4/12/2020,37217,3
